,ApartmentName,Streetname,NoofBedrooms,NoofBathrooms,Price,Latitude,longitude,Neighborhood
704,300 Front St W,300 Front St W,3,3,"$6,500",43.64405,-79.3894,Waterfront Communities-the Island
705,300 Front St W,300 Front St W,1,1,"$2,600",43.64405,-79.3894,Waterfront Communities-the Island
706,28 Wellesley St E,28 Wellesley St E,1,1,"$1,980",43.66551,-79.38302,Church-Yonge Corridor
707,62 Haimer Avenue,62 Haimer Ave,3,3,"$3,250",43.75516,-79.59191,Mt Olive-Silverstone-Jamestown
708,21 Widmer St ,21 Widmer St | Unit: 907,1,1,"$2,399",43.64722,-79.39116,Waterfront Communities-the Island
709,Emerald City,70 Forest Manor Rd | Unit: 217,1,1,"$2,200",43.77508,-79.34579,Henry Farm
710,Emerald City,50 Forest Manor Rd,2,2,"$2,500",43.7728,-79.34539,Henry Farm
711,Emerald City,52 Forest Manor Rd,1,1,"$2,200",43.77321,-79.34579,Henry Farm
712,Rajko Pavlovic,38 Lisburn Crescent,1,1,"$1,200",43.78177,-79.34292,North York
715,Portland Park Village,11 Niagara St | Unit: 17,1,1,"$3,400",43.26475,-79.84249,Industrial Sector B and Keith
716,58 Marine Parade Dr,58 Marine Parade Dr,2,2,"$3,750",43.62747,-79.47709,Mimico
717,KIP,5353 Dundas St W | Unit: 1510,1,1,"$2,100",43.6361,-79.53926,Islington-City Centre West
718,Tableau,125 Peter St,1,1,"$2,500",43.64832,-79.39289,Waterfront Communities-the Island
719,Tableau,125 Peter St,1,1,"$2,800",43.64832,-79.39289,Waterfront Communities-the Island
720,20 Shore Breeze Dr ,20 Shore Breeze Dr | Unit: 3709,1,1,"$2,300",43.62343,-79.47898,Mimico
721,20 Shore Breeze Dr ,20 Shore Breeze Dr | Unit: 2302,1,1,"$2,300",43.62343,-79.47898,Mimico
722,97 Sufi Crescent,97 Sufi Crescent,1.5,1.5,"$2,200",43.72286,-79.30934,North York
723,Caitlyn Percy,125 Omni Dr | Unit: 838,1,1,"$2,200",43.77104,-79.26014,Bendale
724,IQ condos on the Queensway,1185 The Queensway | Unit: 1115,2,2,"$2,600",43.62177,-79.52167,Islington-City Centre West
725,King/Jameson,170 Jameson Ave,1,1,"$1,800",43.63826,-79.43678,South Parkdale
727,285 Enfield Pl,285 Enfield Pl,2,2,"$2,600",43.59049,-79.63553,Cooksville
728,3580 Lake Shore Blvd W ,3580 Lake Shore Blvd W | Unit: 12,2,2,"$2,600",43.5946,-79.53445,Long Branch
729,115 Hillcrest Ave ,115 Hillcrest Ave | Unit: 801,1,1,"$2,650",43.58093,-79.62381,Cooksville
730,115 Hillcrest Ave ,115 Hillcrest Ave | Unit: 902,1,1,"$2,250",43.58093,-79.62381,Cooksville
731,115 Hillcrest Ave ,115 Hillcrest Ave | Unit: 2013,2,2,"$2,300",43.58093,-79.62381,Cooksville
732,98 Gulfbrook Cir,98 Gulfbrook Cir,3,3,"$2,500",43.73573,-79.77786,Springdale
733,The Bondo Condos,290 Adelaide St W | Unit: 1107,1,1,"$2,500",43.64793,-79.3909,Waterfront Communities-the Island
734,HOEM on Jarvis,186 Jarvis St,1,1,"$1,500",43.65612,-79.37453,Church-Yonge Corridor
735,3091 Dufferin St,3091 Dufferin St,1,1,"$2,150",43.71522,-79.45455,Yorkdale-Glen Park
736,3091 Dufferin St,3091 Dufferin St,1,1,"$2,050",43.71522,-79.45455,Yorkdale-Glen Park
737,55 Crockamhill Dr,55 Crockamhill Dr,3,3,"$2,000",43.798,-79.28162,Agincourt North
738,75 The Donway W,75 The Donway W,1.5,1.5,"$2,400",43.73275,-79.34561,Banbury-Don Mills
739,3018 Yonge St ,3018 Yonge St | Unit: 508,2,2,"$3,200",43.72433,-79.4024,Lawrence Park South
740,The Brant Park,39 Brant St | Unit: Suite 213,1,1,"$2,100",43.64644,-79.39803,Waterfront Communities-the Island
741,5418 Yonge St ,5418 Yonge St | Unit: 1703,1,1,"$2,575",43.77552,-79.41521,Willowdale West
742,504 Roxton Rd ,504 Roxton Rd | Unit: 1,1,1,"$1,650",43.66082,-79.42414,Palmerston-Little Italy
743,"3895 Lawrence Avenue, East","3895 Lawrence Avenue, East",1,1,"$1,799",43.76313,-79.20794,Woburn
744,77 Wellesley Street East,77 Wellesley Street East,1,1,"$2,001",43.66553,-79.38049,Church-Yonge Corridor
745,15 Greenview Ave,15 Greenview Ave,1,1,"$2,100",43.77975,-79.41815,Newtonbrook West
746,15 Greenview Ave,15 Greenview Ave,1,1,"$2,300",43.77975,-79.41815,Newtonbrook West
747,Aquavista,15 Merchants' Wharf,1,1,"$2,100",43.6449757,-79.3641533,Waterfront Communities-the Island
748,Aquavista,1 Edgewater Dr,2,2,"$3,650",43.64494,-79.36367,Waterfront Communities-the Island
749,Aquavista,1 Edgewater Dr,2,2,"$3,650",43.64494,-79.36367,Waterfront Communities-the Island
750,23 Sheppard Ave E,23 Sheppard Ave E,1,1,"$2,150",43.7609,-79.40896,Willowdale East
751,2210 Dundas St W ,2210 Dundas St W | Unit: Rear,1,1,"$2,700",43.65386,-79.45141,Roncesvalles
752,77 Harbour Square ,77 Harbour Square | Unit: 2905,1,1,"$2,100",43.64,-79.37889,Waterfront Communities-the Island
753,10 Old York Mills Rd,10 Old York Mills Rd,2,2,"$4,000",43.74386,-79.40445,St Andrews-Windfields
754,375 Apache Trail ,375 Apache Trail | Unit: upper,1,1,"$2,650",43.79992,-79.33991,Pleasant View
755,11 Birchmount Rd,11 Birchmount Rd,1,1,"$1,700",43.6916421,-79.2615835,Birchcliffe-Cliffside
756,230 Oak St,230 Oak St,1,1,"$1,775",43.66357,-79.35777,Regent Park
761,580 The East Mall,580 The East Mall,1,1,"$2,109",43.65369,-79.56433,Islington-City Centre West
762,580 The East Mall,580 The East Mall,1.5,1.5,"$1,956",43.65369,-79.56433,Islington-City Centre West
763,580 The East Mall,580 The East Mall,1.5,1.5,"$2,399",43.65369,-79.56433,Islington-City Centre West
765,Cinema Tower,21 Widmer St | Unit: 3708,1,1,"$2,700",43.64722,-79.39116,Waterfront Communities-the Island
766,Cinema Tower,21 Widmer St | Unit: 3708,1,1,"$2,700",43.64722,-79.39116,Waterfront Communities-the Island
767,Cinema Tower,21 Widmer St | Unit: 4304,1,1,"$2,300",43.64722,-79.39116,Waterfront Communities-the Island
768,Cinema Tower,21 Widmer Street,2,2,"$3,425",43.64722,-79.39116,Waterfront Communities-the Island
769,Cinema Tower,21 Widmer St,1,1,"$2,980",43.64722,-79.39116,Waterfront Communities-the Island
770,Ice Condos,14 York St | Unit: 2201,1,1,"$3,900",43.16256,-79.25283,York-Haig
771,Ice Condos,12 York St,2,2,"$3,000",45.42705,-75.69378,Byward Market-Parliament Hill
772,Ice Condos,14 York St,1,1,"$2,750",43.16256,-79.25283,York-Haig
773,Ice Condos,14 York St,1,1,"$2,950",43.16256,-79.25283,York-Haig
774,Ice Condos,14 York St,2,2,"$4,800",43.16256,-79.25283,York-Haig
775,88 Harbour St ,88 Harbour St | Unit: 7210,1,1,"$4,500",43.64175,-79.3797,Waterfront Communities-the Island
776,Bisha Hotel,88 Blue Jays Way | Unit: 3608,2,2,"$4,650",43.64548,-79.39232,Waterfront Communities-the Island
777,Bisha Hotel,88 Blue Jays Way,2,2,"$5,000",43.64548,-79.39232,Waterfront Communities-the Island
778,18 Valley Woods Rd,18 Valley Woods Rd,1,1,"$2,200",43.75249,-79.3325,Parkwoods-Donalda
779,Axiom,460 Adelaide St E | Unit: Ph 211,1,1,"$2,500",43.65279,-79.3668,Moss Park
780,Axiom,460 Adelaide St E,1,1,"$2,285",43.65279,-79.3668,Moss Park
781,Axiom,460 Adelaide St E | Unit: 608,1,1,"$2,300",43.65279,-79.3668,Moss Park
782,Axiom,460 Adelaide St E | Unit: PH116,2,2,"$3,150",43.65279,-79.3668,Moss Park
783,90 Sumach St ,90 Sumach St | Unit: 310,1,1,"$3,600",43.65734,-79.35989,Regent Park
784,455 Dovercourt Rd ,455 Dovercourt Rd | Unit: 4,3,3,"$4,300",43.65433,-79.42626,Palmerston-Little Italy
785,295 Adelaide St W ,295 Adelaide St W | Unit: 4404,2,2,"$4,200",43.64759,-79.39072,Waterfront Communities-the Island
786,197 Yonge St ,197 Yonge St | Unit: 4609,2,2,"$4,000",43.65334,-79.37933,Church-Yonge Corridor
787,110 Marine Parade Dr ,110 Marine Parade Dr | Unit: 801,3,3,"$3,995",43.62529,-79.47797,Mimico
788,1080 Bay St ,1080 Bay St | Unit: 3810,2,2,"$3,695",43.66678,-79.38871,Bay Street Corridor
789,1080 Bay St ,1080 Bay St | Unit: 3810,2,2,"$3,695",43.66678,-79.38871,Bay Street Corridor
790,311 Bay St ,311 Bay St | Unit: 4805,1,1,"$10,500",43.64977,-79.3804,Bay Street Corridor
791,63 St Mary St ,63 St Mary St | Unit: Th01,3,3,"$10,000",43.66706,-79.38889,Bay Street Corridor
792,180 University Ave ,180 University Ave | Unit: 4505,3,3,"$8,000",43.64891,-79.38608,Bay Street Corridor
793,42 Glen Elm Avenue,42 Glen Elm Avenue,1,1,"$1,995",43.69196,-79.39279,Rosedale-Moore Park
794,Barclay Terraace,1300 Islington Ave | Unit: 2404,2,2,"$2,750",43.64957,-79.52655,Islington-City Centre West
795,3533 Derry Rd E,3533 Derry Rd E,2,2,"$2,400",43.71433,-79.63147,Malton
796,Rino Cara,8 Park Rd | Unit: 2516,1,1,"$2,350",43.67129,-79.38488,Rosedale-Moore Park
797,Skymark,78 Harrison Garden Blvd,2,2,"$4,600",43.75623,-79.40706,Willowdale East
798,78 James St,78 James St,1,1,"$2,500",46.5189,-84.35629,Steelton
799,Sarah McIntosh,684 Warden Ave | Unit: 224,1,1,"$2,500",43.71402,-79.28255,Clairlea-Birchmount
800,667 Queen St E,667 Queen St E,1,1,"$2,450",46.50802,-84.32857,Downtown Sault Ste Marie
801,501 Adelaide St W,501 Adelaide St W,1,1,"$2,400",43.64539,-79.40137,Waterfront Communities-the Island
802,1836 Queen St E,1836 Queen St E,1,1,"$1,425",43.66845,-79.30835,The Beaches
803,Liberty Place,150 E Liberty St | Unit: 1618,1,1,"$2,450",43.63877,-79.41628,Niagara
804,Liberty Place,150 E Liberty St,1.5,1.5,"$2,800",43.63877,-79.41628,Niagara
805,602 Birchmount Rd ,602 Birchmount Rd | Unit: B,1,1,"$2,200",43.71541,-79.27208,Clairlea-Birchmount
806,189 Lippincott St,189 Lippincott St,3,3,"$4,000",43.65987,-79.40752,University
807,Studio 2,30 Nelson St,1,1,"$2,600",43.64909,-79.38851,Waterfront Communities-the Island
808,Studio 2,30 Nelson St | Unit: 3408,1,1,"$2,400",43.64909,-79.38851,Waterfront Communities-the Island
809,Mehul Desai,21 Iceboat Terr | Unit: 42FL,1,1,"$2,175",43.64044,-79.39715,Waterfront Communities-the Island
810,2200 Eglinton Ave W,2200 Eglinton Ave W,2,2,"$2,600",43.6932703,-79.4617206,Briar Hill-Belgravia
811,290 Adelaide St W,290 Adelaide St W,1,1,"$2,700",43.64793,-79.3909,Waterfront Communities-the Island
812,Pantages Hotel,200 Victoria St | Unit: 1606,1,1,"$2,100",43.65451,-79.37908,Church-Yonge Corridor
813,Mondeo springs,8 Mondeo Dr | Unit: 1402,2,2," $2,250",43.7645,-79.28843,Dorset Park
814,MINTO,576 Front St W,1,1,"$1,850",43.64114,-79.40074,Waterfront Communities-the Island
815,Triplex,112 Stephen Dr | Unit: 2,1,1,"$2,600",43.63653,-79.48708,Stonegate-Queensway
816,540 Birchmount Road,540 Birchmount Rd,1,1,"$1,630",43.71079,-79.27026,Clairlea-Birchmount
817,540 Birchmount Road,540 Birchmount Rd,1,1,"$1,975",43.71079,-79.27026,Clairlea-Birchmount
818,City Place,10 Capreol Ct,2,2,"$3,500",43.64027,-79.39597,Waterfront Communities-the Island
819,Massey,197 Yonge St,1,1,"$2,250",43.65334,-79.37933,Church-Yonge Corridor
820,106 Holcolm Rd,106 Holcolm Rd,1,1,"$3,400",46.9386318,-65.9183662,Halcomb
822,8 Telegram Mews,8 Telegram Mews,2,2,"$3,500",43.64049,-79.39488,Waterfront Communities-the Island
827,88 Charles St E,88 Charles St E,1,1,"$3,200",43.6699,-79.38148,Church-Yonge Corridor
828,Aqualina,55 Merchants' Wharf,1.5,1.5,"$2,650",43.6442689,-79.3630895,Waterfront Communities-the Island
829,Aqualina,15 Merchants' Wharf,1,1,"$2,195",43.6449757,-79.3641533,Waterfront Communities-the Island
830,Aqualina,55 Merchants' Wharf | Unit: 521,1,1,"$2,300",43.6442689,-79.3630895,Waterfront Communities-the Island
831,Aqualina,55 Merchants' Wharf | Unit: 521,1,1,"$2,300",43.6442689,-79.3630895,Waterfront Communities-the Island
832,Aqualina,55 Merchants' Wharf | Unit: 521,1,1,"$2,300",43.6442689,-79.3630895,Waterfront Communities-the Island
833,230 S Kingsway,230 S Kingsway,1,1,"$3,500",43.64458,-79.4826,High Park-Swansea
834,Rezen,205 Frederick St | Unit: Unit 809,1,1,"$2,500",43.65164,-79.3694,Moss Park
835,Bisha,88 Blue Jays Way,1,1,"$2,450",43.64548,-79.39232,Waterfront Communities-the Island
836,Bisha,88 Blue Jays Way,2,2,"$5,995",43.64548,-79.39232,Waterfront Communities-the Island
837,Palace Gate,3181 Bayview Ave | Unit: 505,2,2,"$3,800",43.78585,-79.39102,Bayview Woods-Steeles
839,1 De Boers Dr ,1 De Boers Dr | Unit: 1206,2,2,"$2,700",43.75122,-79.46407,York University Heights
840,Liberty Village Townhomes,50 Western Battery Rd,1,1,"$2,550",43.63972,-79.41413,Niagara
841,Fuse II,14 York St,1,1,"$2,700",43.16256,-79.25283,York-Haig
842,Fuse II,1420 Dupont St,1,1,"$1,850",43.6668,-79.44825,Dovercourt-Wallace Emerson-Junction
843,Fuse II,14 York St,1,1,"$3,500",43.16256,-79.25283,York-Haig
845,74 Twenty Ninth St,74 Twenty Ninth St,1,1,"$2,300",43.5983669,-79.5299858,Long Branch
846,INDX Condos,70 Temperance St | Unit: 1808,1,1,"$2,600",43.65051,-79.38208,Bay Street Corridor
847,Donway Properties - Don Mills,6 The Donway East,1,1,"$1,950",43.73359,-79.34048,Banbury-Don Mills
848,Donway Properties - Don Mills,6 The Donway East,1,1,"$2,300",43.73359,-79.34048,Banbury-Don Mills
849,Donway Properties - Don Mills,1053 Don Mills,1,1,"$1,950",43.73352,-79.34169,Banbury-Don Mills
850,Donway Properties - Don Mills,1053 Don Mills,1,1,"$2,300",43.73352,-79.34169,Banbury-Don Mills
851,Donway Properties - Toronto,2 The Donway East,1,1,"$1,950",43.73286,-79.34178,Banbury-Don Mills
852,Donway Properties - Toronto,2 The Donway East,1,1,"$2,300",43.73286,-79.34178,Banbury-Don Mills
853,352 Front St W ,352 Front St W | Unit: LPH3,1,1,"$3,500",43.64333,-79.3924,Waterfront Communities-the Island
854,Iron Gate Manor,485 Kingston Road,1,1,"$1,450",43.677,-79.30305,The Beaches
855,Iron Gate Manor,485 Kingston Road,2,2,"$2,000",43.677,-79.30305,The Beaches
856,319 Carlaw Ave ,319 Carlaw Ave | Unit: 506,1,1,"$2,100",43.66426,-79.34107,South Riverdale
857,Clock Tower Lofts,700 King St W | Unit: 1202,2,2,"$3,000",43.64412,-79.40322,Niagara
858,DNA2,1005 King St W | Unit: 501,2,2,"$3,250",43.26178,-79.90499,Westdale South
859,27 Bathurst St,27 Bathurst St,2,2,"$2,850",43.64106,-79.4012,Waterfront Communities-the Island
860,56 Hambly Ave ,56 Hambly Ave | Unit: lower,1,1,"$2,100",43.6732,-79.2982,The Beaches
861,9 ruscoe cresent,9 Ruscoe Crescent,1,1,"$2,900",43.691,-79.53367,Etobicoke
862,Casa condominiums,33 Charles St E | Unit: 4004,1,1,"$3,850",43.66826,-79.38431,Church-Yonge Corridor
863,447 Longmore St ,447 Longmore St | Unit: 2,1,1,"$1,900",43.77978,-79.40316,Willowdale East
864,Naila Arain,27 Bathurst St,2,2,"$2,900",43.64106,-79.4012,Waterfront Communities-the Island
865,Westwood Boutique,8 Fieldway Rd | Unit: 514,1,1,"$2,100",43.64269,-79.52742,Islington-City Centre West
866,75 Cambridge Ave ,75 Cambridge Ave | Unit: Apartment 1,1,1,"$2,600",43.67799,-79.35954,Playter Estates-Danforth
867,Sq on the park,80 Vanauley St,2,2,"$3,500",43.64968,-79.39923,Kensington-Chinatown
868,540 Russell Hill Rd ,540 Russell Hill Rd | Unit: 203,1,1,"$2,380",43.70283,-79.41562,Forest Hill South
870,1169 Queen St W,1169 Queen St W,1,1,"$2,100",43.6426,-79.42589,Little Portugal
871,Matthew McCullough,167 Church St,2,2,"$1,350",43.65443,-79.37592,Church-Yonge Corridor
872,60 Brian Harrison Way ,60 Brian Harrison Way | Unit: 3605,1,1,"$2,000",43.7727463,-79.2587171,Bendale
873,208 Lake Promenade,208 Lake Promenade,1,1,"$1,795",43.58991,-79.52922,Long Branch
874,208 Lake Promenade,208 Lake Promenade,1,1,"$2,900",43.58991,-79.52922,Long Branch
875,Apex Cityplace,397 Front St W,1,1,"$2,200",43.64269,-79.39332,Waterfront Communities-the Island
876,591 Sheppard Ave E,591 Sheppard Ave E,1,1,"$2,200",43.76707,-79.38396,Bayview Village
877,Axiom Condos,460 Adelaide St E,1,1,"$2,200",43.65279,-79.3668,Moss Park
878,Axiom Condos,464 Adelaide St E | Unit: 502,1,1,"$2,300",43.6527471,-79.366478,Moss Park
879,Monde,16 Bonnycastle St,1,1,"$2,400",43.64608,-79.36501,Waterfront Communities-the Island
880,Monde,16 Bonnycastle St,1,1,"$2,200 ",43.64608,-79.36501,Waterfront Communities-the Island
881,Monde,16 Bonnycastle St,1,1,"$2,250",43.64608,-79.36501,Waterfront Communities-the Island
882,Riverview Apartments,2304  Weston Road,1,1,"$2,039",43.70506,-79.53012,Weston
883,35 Walmer Road,35 Walmer Road,1,1,"$2,353",43.66913,-79.40558,Annex
884,35 Walmer Road,35 Walmer Road,1,1,"$2,183",43.66913,-79.40558,Annex
885,35 Walmer Road,35 Walmer Road,1,1," $2,889",43.66913,-79.40558,Annex
886,3888 Bathurst Street,3888 Bathurst Street,1,1,"$1,802",43.74283,-79.43582,Clanton Park
887,3888 Bathurst Street,3888 Bathurst Street,1,1,"$2,136",43.74283,-79.43582,Clanton Park
888,4900 Bathurst Street,4900  Bathurst Street,1,1,"$1,877",43.7723,-79.44303,Westminster-Branson
889,4900 Bathurst Street,4900  Bathurst Street,1,1,"$2,214",43.7723,-79.44303,Westminster-Branson
890,4981 Bathurst Street,4981 Bathurst Street,1,1,"$1,861",43.77624,-79.44309,Newtonbrook West
891,4981 Bathurst Street,4981 Bathurst Street,1,1,"$2,063",43.77624,-79.44309,Newtonbrook West
892,323 Rusholme Road - Doversquare Apartments,323 Rusholme Road,1,1,"$1,687",43.6591,-79.43015,Dufferin Grove
893,323 Rusholme Road - Doversquare Apartments,323 Rusholme Road,1,1,"$1,887",43.6591,-79.43015,Dufferin Grove
894,357 Rusholme Road - Doversquare Apartments,357 Rusholme Road,1,1,"$1,687",43.66003,-79.43051,Dufferin Grove
895,357 Rusholme Road - Doversquare Apartments,357 Rusholme Road,1,1,"$1,907",43.66003,-79.43051,Dufferin Grove
896,4222 Bathurst Street,4222 Bathurst Street,1,1,"$1,852",43.74959,-79.43765,Clanton Park
897,1650 Sheppard Avenue East,1650 Sheppard Avenue East,1,1,"$2,047",43.77511,-79.34904,Don Valley Village
898,1650 Sheppard Avenue East,1650 Sheppard Avenue East,2,2,"$2,267",43.77511,-79.34904,Don Valley Village
899,4979 Bathurst Street,4979 Bathurst Street,1,1,"$1,860",43.77524,-79.44283,Newtonbrook West
900,4979 Bathurst Street,4979 Bathurst Street,1,1,"$2,091",43.77524,-79.44283,Newtonbrook West
901,4979 Bathurst Street,4979 Bathurst Street,1,1,"$2,121",43.77524,-79.44283,Newtonbrook West
902,4190 Bathurst Street,4190 Bathurst Street,1,1,"$1,847",43.74857,-79.43726,Clanton Park
903,3894 Bathurst Street,3894 Bathurst Street,1,1,"$1,816",43.74369,-79.43603,Clanton Park
904,1660 Bathurst Street,1660 Bathurst Street,1,1,"$1,799",43.69504,-79.42344,Humewood-Cedarvale
905,730 Dovercourt Road - Doversquare Apartments,730 Dovercourt Road,1,1,"$1,687",43.65971,-79.42925,Dufferin Grove
906,730 Dovercourt Road - Doversquare Apartments,730 Dovercourt Road,1,1,"$1,887",43.65971,-79.42925,Dufferin Grove
907,2900 Bathurst Street - Emerald Towers,2900 Bathurst Street,1,1,"$1,837",43.71453,-79.42917,Englemount-Lawrence
908,2900 Bathurst Street - Emerald Towers,2900 Bathurst Street,1,1,"$2,347",43.71453,-79.42917,Englemount-Lawrence
909,2900 Bathurst Street - Emerald Towers,2900 Bathurst Street,1,1,"$2,747",43.71453,-79.42917,Englemount-Lawrence
911,Kimberly Parris,38 Joe Shuster Way | Unit: Suite 324,1,1,"$2,450",43.64043,-79.42465,South Parkdale
912,311 Richmond St E ,311 Richmond St E | Unit: PH 04,1,1,"$2,200",43.65326,-79.36917,Moss Park
913,2 Regal Road,2 Regal Road,1,1,"$1,800",43.67563,-79.43337,Wychwood
914,2 Regal Road,2 Regal Road,1,1,"$2,059",43.67563,-79.43337,Wychwood
915,700 King St W ,700 King St W | Unit: 700,1,1,"$2,375",43.64412,-79.40322,Niagara
916,Tom Eichler,388 Bloor St E,1,1,"$2,100",43.67249,-79.37746,Rosedale-Moore Park
917,Quad Lofts II,19 Brant St | Unit: 609,1,1,"$3,199",43.64573,-79.39759,Waterfront Communities-the Island
918,2397 Finch Avenue West,2397 Finch Avenue West,1,1,"$1,714",43.75118,-79.54454,Humbermede
919,2397 Finch Avenue West,2397 Finch Avenue West,1,1,"$1,958",43.75118,-79.54454,Humbermede
920,286 Finch Avenue West,286 Finch Avenue West,1,1,"$1,736",43.77505,-79.44019,Newtonbrook West
921,286 Finch Avenue West,286 Finch Avenue West,1,1,"$2,035",43.77505,-79.44019,Newtonbrook West
922,1038 Dundas St E,1038 Dundas St E,2,2,"$4,300",43.66392,-79.34572,South Riverdale
923,269 Soudan Ave ,269 Soudan Ave | Unit: 2,1,1,"$2,000",43.70576,-79.38981,Mt Pleasant West
924,Wyatt,20 Tubman Ave,1,1,"$1,900",43.66059,-79.35935,Regent Park
925,Wyatt,20 Tubman Ave,1,1,"$2,450",43.66059,-79.35935,Regent Park
926,Wyatt,20 Tubman Ave,2,2,"$3,300",43.66059,-79.35935,Regent Park
927,Yorkdale Condos,160 Flemington Rd | Unit: 312,2,2,"$2,500",43.72315,-79.44823,Yorkdale-Glen Park
928,Omega,115 McMahon Dr,1,1,"$2,500",43.767,-79.37115,Bayview Village
929,Omega,115 McMahon Dr,1,1,"$2,000",43.767,-79.37115,Bayview Village
930,Harbour Plaza East,88 Harbour St,2,2,"$4,500",43.64175,-79.3797,Waterfront Communities-the Island
931,Murano Condos,38 Grenville St,1,1,"$3,400",43.66209,-79.38568,Bay Street Corridor
932,Opus,117 McMahon Dr,1,1,"$2,550",43.76721,-79.3711,Bayview Village
933,Opus,117 McMahon Dr,2,2,"$2,600",43.76721,-79.3711,Bayview Village
934,Opus,115 McMahon Dr,1,1,"$2,250",43.767,-79.37115,Bayview Village
935,5 St Joseph St,5 St Joseph St,1,1,"$2,600",43.66584,-79.38539,Bay Street Corridor
938,Britt Condo,955 Bay St | Unit: 1708,1,1,"$2,000",43.66475,-79.38694,Bay Street Corridor
939,7 Lorraine Dr,7 Lorraine Dr,2,2,"$2,580",43.77874,-79.4171,Willowdale West
940,7 Lorraine Dr,7 Lorraine Dr,2,2,"$2,350",43.77874,-79.4171,Willowdale West
941,18 Harrison Garden Blvd,18 Harrison Garden Blvd,2,2,"$2,680",43.75737,-79.40889,Willowdale East
942,18 Harrison Garden Blvd,18 Harrison Garden Blvd,1,1,"$1,950",43.75737,-79.40889,Willowdale East
943,23 Lorraine Dr,23 Lorraine Dr,2,2,"$2,650",43.77805,-79.41663,Willowdale West
944,23 Lorraine Dr,23 Lorraine Dr,2,2,"$2,650",43.77805,-79.41663,Willowdale West
945,23 Lorraine Dr,23 Lorraine Dr,2,2,"$3,500",43.77805,-79.41663,Willowdale West
946,23 Lorraine Dr,23 Lorraine Dr,1,1,"$2,650",43.77805,-79.41663,Willowdale West
947,33 Singer Crt,33 Singer Ct,2,2,"$2,600",43.76942,-79.36865,Bayview Village
948,80 Harrison Garden Blvd,80 Harrison Garden Blvd,2,2,"$2,650",43.7565,-79.40585,Willowdale East
949,80 Harrison Garden Blvd,80 Harrison Garden Blvd,2,2,"$3,000",43.7565,-79.40585,Willowdale East
950,80 Harrison Garden Blvd,80 Harrison Garden Blvd,2,2,"$3,100",43.7565,-79.40585,Willowdale East
951,80 Harrison Garden Blvd,80 Harrison Garden Blvd,2,2,"$3,100",43.7565,-79.40585,Willowdale East
952,100 Antibes Dr,100 Antibes Dr,2,2,"$2,500",43.78048,-79.44698,Westminster-Branson
953,100 Antibes Dr,100 Antibes Dr,1,1,"$2,500",43.78048,-79.44698,Westminster-Branson
954,503 Beecroft Rd,503 Beecroft Rd,1,1,"$2,500",43.77823,-79.41773,Willowdale West
955,503 Beecroft Rd,503 Beecroft Rd,1,1,"$1,950",43.77823,-79.41773,Willowdale West
956,1101 Steeles Ave W,1101 Steeles Ave W,1.5,1.5,"$2,450",43.79048,-79.44814,Westminster-Branson
957,5791 Yonge St,5791 Yonge St,1,1,"$2,500",43.784,-79.41604,Newtonbrook East
958,1862 Bathurst Street,1862 Bathurst Street,1,1,"$1,954",43.69759,-79.42452,Humewood-Cedarvale
959,1862 Bathurst Street,1862 Bathurst Street,1,1,"$2,318",43.69759,-79.42452,Humewood-Cedarvale
961,14-30 Tichester Road,14-30 Tichester Road,1,1,"$1,795",43.68578,-79.41845,Forest Hill South
962,4005 Bayview Avenue - The Gates of Bayview,4005 Bayview Avenue,1.5,1.5,"$2,997",43.80264,-79.39405,Bayview Woods-Steeles
963,4005 Bayview Avenue - The Gates of Bayview,4005 Bayview Avenue,2,2,"$3,697",43.80264,-79.39405,Bayview Woods-Steeles
964,4003 Bayview Avenue - The Gates of Bayview,4003 Bayview Avenue,1.5,1.5,"$2,987",43.80223,-79.39284,Bayview Woods-Steeles
965,4003 Bayview Avenue - The Gates of Bayview,4003 Bayview Avenue,2,2,"$3,577",43.80223,-79.39284,Bayview Woods-Steeles
966,70 Spadina Road,70  Spadina Road,1,1,"$1,645",43.67058,-79.40574,Annex
967,70 Spadina Road,70  Spadina Road,1,1,"$2,252",43.67058,-79.40574,Annex
968,66 Spadina Road,66 Spadina Road,1,1,"$2,110",43.67008,-79.40546,Annex
969,50 Spadina Road,50 Spadina Road,1,1,"$2,549",43.66933,-79.40522,Annex
970,50 Spadina Road,50 Spadina Road,1,1,"$2,711",43.66933,-79.40522,Annex
971,100 Hayden St,100 Hayden St,1,1,"$3,500",43.67056,-79.38141,Church-Yonge Corridor
972,52 Inglewood Dr,52 Inglewood Dr,4.5,4.5,"$6,950",52.23463,-113.7716,Inglewood East
973,World on Yonge,7171 Yonge St | Unit: 509,1,1,"$2,250",43.80312,-79.42084,Thornhill
974,World on Yonge,7165 Yonge St,1,1,"$2,100",43.80259,-79.4198,Thornhill
975,World on Yonge,7171 Yonge St | Unit: 509,1,1,"$2,350",43.80312,-79.42084,Thornhill
976,Ola,377 Madison Ave | Unit: 219,2,2,"$3,150",43.67702,-79.40638,Casa Loma
978,Murano,38 Grenville St,1,1,"$2,300",43.66209,-79.38568,Bay Street Corridor
979,Lake Promenade Community,240 Lake Promenade,1,1,"$1,400",43.58928,-79.5314,Long Branch
980,Lake Promenade Community,240 Lake Promenade,1,1,"$1,850",43.58928,-79.5314,Long Branch
981,Lake Promenade Community,240 Lake Promenade,1,1,"$1,925 ",43.58928,-79.5314,Long Branch
