,ApartmentName,Streetname,NoofBedrooms,NoofBathrooms,Price,Latitude,longitude,Neighborhood
358,350 The East Mall,350 The East Mall,1,1,"$1,795",43.64093,-79.55809,Islington-City Centre West
359,350 The East Mall,350 The East Mall,1,1,"$1,757",43.64093,-79.55809,Islington-City Centre West
360,350 The East Mall,350 The East Mall,1,1,"$1,808",43.64093,-79.55809,Islington-City Centre West
361,350 The East Mall,350 The East Mall,1,1,"$2,252",43.64093,-79.55809,Islington-City Centre West
362,555 The West Mall,555 The West Mall,1,1,"$2,286",43.65244,-79.57043,Etobicoke West Mall
363,555 The West Mall,555 The West Mall,1,1,"$2,389",43.65244,-79.57043,Etobicoke West Mall
364,1330 Danforth Road,1330 Danforth Road,1,1,"$1,679",43.74292,-79.24591,Eglinton East
365,1360 Danforth Road,1360 Danforth Road,1,1,"$1,799",43.74499,-79.24523,Eglinton East
366,1360 Danforth Road,1360 Danforth Road,1,1,"$2,039",43.74499,-79.24523,Eglinton East
367,1350 Danforth Road,1350 Danforth Road,1,1,"$1,802",43.74426,-79.24593,Eglinton East
368,1350 Danforth Road,1350 Danforth Road,1,1,"$2,037",43.74426,-79.24593,Eglinton East
369,1350 Danforth Road,1350 Danforth Road,1,1,"$2,615",43.74426,-79.24593,Eglinton East
370,25 Cougar Court,25 Cougar Court,1,1,"$2,051",43.74604,-79.21807,Scarborough Village
371,135 Tyndall Avenue,135 Tyndall Avenue,1,1,"$1,529",43.63771,-79.42829,South Parkdale
372,135 Tyndall Avenue,135 Tyndall Avenue,1,1,"$1,899",43.63771,-79.42829,South Parkdale
373,135 Tyndall Avenue,135 Tyndall Avenue,1,1,"$2,329",43.63771,-79.42829,South Parkdale
374,201 Sherbourne Street,201 Sherbourne Street,1,1,"$1,999",43.65729,-79.37026,Moss Park
375,201 Sherbourne Street,201 Sherbourne Street,1,1,"$2,349",43.65729,-79.37026,Moss Park
376,191 Sherbourne Street,191 Sherbourne Street,1,1,"$1,829",43.65679,-79.36988,Moss Park
377,191 Sherbourne Street,191 Sherbourne Street,1,1,"$1,869",43.65679,-79.36988,Moss Park
378,191 Sherbourne Street,191 Sherbourne Street,1,1,"$1,899",43.65679,-79.36988,Moss Park
379,78 Allingham Gardens,78 Allingham Gardens,1,1,$850,43.73788298,-79.4400184,North York
380,CASA 2,"42 Charles St E | Unit: Toronto, ON",1,1,"$1,500",43.66929,-79.38413,Church-Yonge Corridor
381,5508 Yonge St,5508 Yonge St,2,2,"$2,700",43.77834,-79.41596,Willowdale West
382,3986 Ellesmere Rd,3986 Ellesmere Rd,1,1,$700,43.79299,-79.1625,Highland Creek
383,Electraloft,1029 King St W | Unit: 816,2,2,"$3,150",43.64098,-79.41622,Niagara
384,20 Tubman Ave ,20 Tubman Ave | Unit: 1903,2,2,"$3,000",43.66059,-79.35935,Regent Park
385,Justin Simmons,18 Sommerset Way | Unit: 2116,2,2,"$3,200",43.77652,-79.4124,Willowdale East
386,Julie Creen,23 Blackburn St,1,1,"$2,995",43.66431,-79.35454,South Riverdale
387,Key West,36 Park Lawn Rd | Unit: 2606,1,1,"$2,275",43.6236,-79.48411,Mimico
388,Key West,36 Park Lawn Rd | Unit: 3809,1,1,"$2,400",43.6236,-79.48411,Mimico
389,705 King St W,705 King St W,1,1,"$1,900",43.89143,-78.88954,Vanier
390,739 Birchmount,739 Birchmount Road,1,1,"$1,750",43.72496,-79.27477,Ionview
391,Kineret Aloni-Goldman,394 Queen St W,1,1,"$3,200",43.64879,-79.39702,Kensington-Chinatown
392,120 Bayview Ave,120 Bayview Ave,1,1,"$2,000",44.22069,-79.45906,Keswick
393,120 Bayview Ave,120 Bayview Ave,2,2,"$2,900",44.22069,-79.45906,Keswick
394,3575 Bathurst Street,3575 Bathurst Street,1,1,"$1,933",43.7318,-79.4323,Bedford Park-Nortown
395,Joanne Yeung,25 Telegram Mews | Unit: 3201,1,1,"$2,100",43.64099,-79.39457,Waterfront Communities-the Island
396,Aqua,401 Queens Quay W | Unit: 601,1,1,"$2,700",43.63728,-79.39086,Waterfront Communities-the Island
397,Musee,525 Adelaide St W | Unit: LPH31,1,1,"$2,550",43.64484,-79.40224,Waterfront Communities-the Island
398,Musee,525 Adelaide St W,2,2,"$4,380",43.64484,-79.40224,Waterfront Communities-the Island
399,20 Ellis Park Rd,20 Ellis Park Rd,2,2,"$3,750",43.6468,-79.47143,High Park-Swansea
400,75 E Liberty St,75 E Liberty St,1,1,"$2,400",43.63836,-79.41452,Niagara
401,8 Rosebank Dr ,8 Rosebank Dr | Unit: 3F,1,1,"$1,800",43.79189,-79.23732,Malvern
402,St. Clair Ave & Spadina Rd,6 Parkwood Ave,1,1,"$2,250",43.68529,-79.40979,Casa Loma
403,The NY Towers Waldorf Condos,2 Rean Dr,1,1,"$2,500",43.7659,-79.38366,Bayview Village
404,431 Woburn Ave,431 Woburn Ave,2,2,"$3,750",43.72515,-79.41727,Bedford Park-Nortown
405,Triomphe,5 Northtown Way | Unit: 1910,2,2,"$2,600",43.77511,-79.41379,Willowdale East
406,99 Santamonica Blvd,99 Santamonica Blvd,1,1,$835,43.70818,-79.2754,Clairlea-Birchmount
411,177 Lyndhurst Ave,177 Lyndhurst Ave,4.5,4.5,"$9,800",43.6827,-79.41466,Casa Loma
412,4 Jeffrey St,4 Jeffrey St,1,1,"$1,099",44.08491,-78.95293,Port Perry
414,61 Hummingbird Dr,61 Hummingbird Dr,1,1,$650,43.82918,-79.23704,Rouge
